from,ref
20,0.35256338285482847
25.85,0.28636133419091886
98.36,0.1677223022740621
101.71,0.24138849920492905
108,0.21877727655755297
112.78,0.19245955269497175
225.13,0.20781207442938626
229.28,0.19615193638186423
234.22,0.1945421255336931
238.1,0.19814448109039892
242.57,0.2723755992605136
244.57,0.20882625215787154
248.9,0.1573262967599126
249.35,0.17100329381198837
251.45,0.30940206328591147
290.67,0.2175509938093332
293.13,0.3388878968014167
295.2,0.27261874256017327
297.65,0.35211357363714624
301.45,0.20228932083226167
303.5,0.09329312442170157
305.8,0.21533700591784258
308.1,0.24690566819447737
311.75,0.2363024373524464
312,0.18809242500708653
320.57,0.27496835242861356
324.85,0.15543654895745793
328,0.19495002080951881
331,0.1465782856578246
332.92,0.19250441474201796
339.85,0.17344421017055328
350.85,0.2565985243366315
356.56,0.216184083836583
360.12,0.2883131185403237
364.84,0.1790758815102088
371.29,0.15390412276917761
374.2,0.2345823330518145
378.48,0.19852786002823938
382.01,0.1612488663677986
384.76,0.24774892816176783
387.75,0.2439884982757516
392.9,0.3702896444614117
396,0.3426555205766971
400.15,0.1469749662719476
402.25,0.2716061287247218
405.46,0.1755066178555672
408.3,0.19436319513198658
409.8,0.2044584679374328
411.68,0.17119798315750373
413.76,0.15900579352218372
415.9,0.24594895984881962
418.1,0.2667788433512816
420.82,0.2665813725911654
422.06,0.2607821734249592
423.9,0.233931538944061
427.7,0.24531512478223214
432.52,0.2598050225698031
435.75,0.21288486705949675
439.18,0.24285487636694542
443.39,0.2306610335295017
447.1,0.2500473425250787
449.75,0.31407208487391475
450.73,0.19458926922999897
453.48,0.23428490829773438
455.62,0.21618419951353318
459.68,0.2239461985688943
461.68,0.2959734736726834
464.08,0.3156249059163607
469.01,0.22003881612190834
469.84,0.3004937726717729
471.6,0.1961467528075744
474.6,0.22850725405491315
475.99,0.24502415941311764
476.63,0.2560089441904655
477.9,0.20513048105897047
480.65,0.1909472005909834
483.21,0.30429828216250127
485.33,0.21179330478493982
487.56,0.18777405318159324
489.96,0.23105817285294716
496.78,0.2750706020685343
497.16,0.19074623357791165
501.66,0.2621605971226325
505.76,0.25379401600131624
507.15,0.29616362621234016
511.35,0.28925391064240386
514.15,0.3228622200741218
518.25,0.26475424732153235
522.96,0.29218070584420974
524.67,0.24405525958308807
529.55,0.30879456233519775
537.09,0.2889247426772729
540.55,0.34036253748795925
542.92,0.17849942524845783
546.19,0.25929901511050185
548.91,0.2437850907903451
551.94,0.2535379515072474
554.66,0.38572126411474666
559.29,0.19731161236763
564.3,0.2856404281121034
567.9,0.18341536019857113
569.83,0.1899709124290026
576.93,0.22515475889238026
580.85,0.24475017520670708
583.8,0.3231866011940516
588.38,0.2869899566662617
591.9,0.2637028377961654
597.78,0.1890028431171026
598.8,0.17587455134265698
601.75,0.20114782217030341
602.75,0.3461354628128883
604.55,0.23591376682122547
608.9,0.267273466569873
613.04,0.2916049703543003
616.72,0.2338188678576396
619.74,0.2673412964664973
621.2,0.25817789428332855
624.48,0.2514105541087114
628.26,0.22337167143057554
628.7,0.3143925233376332
631.1,0.2755787769475809
632.87,0.27447759290536244
635.09,0.22522835660439272
636.2,0.24309093156113074
638.17,0.19109241176110048
644,0.39525497610752397
649.8,0.4500450984636943
658.21,0.2568861382970443
662.51,0.30022002103237005
668.35,0.32128188769404703
673.63,0.26841241989571313
679.9,0.2702028949520527
684.6,0.2757225118921353
691.3,0.3531254961246099
695.7,0.3303216724212353
700.86,0.29320964258450727
707.43,0.3304350613630735
714.65,0.32785614926081436
718.94,0.40249236746476247
722.75,0.3205731362562913
729.03,0.3330503258705139
738.08,0.2094377960379307
743,0.2040397261083126
744.74,0.2122864160812818
752.66,0.23184636917481058
756.27,0.29849130112391253
761,0.3248388530810674
769.7,0.2751286254402919
775.8,0.2964339551100364
781.54,0.26922788739204406
786.59,0.27935032393687814
791.7,0.2416873228779206
797.29,0.22738708985921663
805.1,0.21735723287631303
807.37,0.21847533569504052
815.33,0.30615409550376427
821.99,0.2673034343581933
826.77,0.21348807722903215
828.8,0.28079662160690017
829.35,0.2818619074271275
831.53,0.22233184105931567
832.92,0.20365020159058847
837.2,0.22233328006588496
839.68,0.2665474396600173
844.42,0.30575549838962135
844.79,0.28636328945557277
846.24,0.27622226969553876
847.66,0.3357592670046366
848.12,0.30301393444721514
849.95,0.29301647901535033
